V1,V2
H.D. (Hilda Doolittle),"Agresti, Olivia Rossetti"
H.D. (Hilda Doolittle),"Aiken, Conrad"
H.D. (Hilda Doolittle),"Aldington, Catherine"
H.D. (Hilda Doolittle),"Aldington, Richard"
H.D. (Hilda Doolittle),"Aldington, Richard"
H.D. (Hilda Doolittle),"Allingham, Emily G."
H.D. (Hilda Doolittle),American Caravan
H.D. (Hilda Doolittle),"Ashby, Elizabeth"
H.D. (Hilda Doolittle),"Baker, Gretchen Wolle"
H.D. (Hilda Doolittle),"Barnard, Mary"
H.D. (Hilda Doolittle),"Barsis, Olga S."
H.D. (Hilda Doolittle),"Beach, Sylvia"
H.D. (Hilda Doolittle),"Bergner, Elizabeth"
H.D. (Hilda Doolittle),"Bhaduri, Alexander"
H.D. (Hilda Doolittle),"Bhaduri, May"
H.D. (Hilda Doolittle),"Blackwell, Basil, Sir"
H.D. (Hilda Doolittle),"Blackemore, C. R. V."
H.D. (Hilda Doolittle),"Blakeston, Oswall"
H.D. (Hilda Doolittle),"Blunden, Edmund"
H.D. (Hilda Doolittle),"Bottomley, Gordon"
H.D. (Hilda Doolittle),"Brooke, Jocelyn"
H.D. (Hilda Doolittle),"Browne, Frances"
H.D. (Hilda Doolittle),"Brunner, Blanche"
H.D. (Hilda Doolittle),"Brunner, Theodor"
H.D. (Hilda Doolittle),Bryher
H.D. (Hilda Doolittle),Bryher
H.D. (Hilda Doolittle),Bryher
H.D. (Hilda Doolittle),Bryher
H.D. (Hilda Doolittle),Bryher
H.D. (Hilda Doolittle),Bryher
H.D. (Hilda Doolittle),Bryn Mawr College
H.D. (Hilda Doolittle),"Bukowski, Charles"
H.D. (Hilda Doolittle),"Burnett, Whit"
H.D. (Hilda Doolittle),"Butler, Amy"
H.D. (Hilda Doolittle),"Butler, E. M. (Eliza Marian)"
H.D. (Hilda Doolittle),"Butler, E. M.(Eliza Marian)"
H.D. (Hilda Doolittle),"Capper, Jessie"
H.D. (Hilda Doolittle),"Catterns, Nancy"
H.D. (Hilda Doolittle),Chatto and Windus
H.D. (Hilda Doolittle),"Cherberton, Una"
H.D. (Hilda Doolittle),"Clemens, Cyril"
H.D. (Hilda Doolittle),"Clodd, Alan"
H.D. (Hilda Doolittle),"Cockshutt, E."
H.D. (Hilda Doolittle),"Cody, Morrill"
H.D. (Hilda Doolittle),"Cole, M. D."
H.D. (Hilda Doolittle),"Compton-Burnett, Ivy"
H.D. (Hilda Doolittle),"Constantine, Murry"
H.D. (Hilda Doolittle),"Cournos, John"
H.D. (Hilda Doolittle),"D'Auria, Gemma"
H.D. (Hilda Doolittle),"Davidson, Gustav"
H.D. (Hilda Doolittle),"De la Mare, Walter"
H.D. (Hilda Doolittle),"Dobson, Mervyn"
H.D. (Hilda Doolittle),"Dobson, Norah"
H.D. (Hilda Doolittle),"Dobson, Silvia"
H.D. (Hilda Doolittle),"Doolittle, Doris"
H.D. (Hilda Doolittle),"Doolittle, Dorothy"
H.D. (Hilda Doolittle),"Doolittle, Harold"
H.D. (Hilda Doolittle),"Doolittle, Helen Wolle"
H.D. (Hilda Doolittle),"Doolittle, Mundell"
H.D. (Hilda Doolittle),"Doolittle, Sara"
H.D. (Hilda Doolittle),"Douglas, Norman"
H.D. (Hilda Doolittle),"Dowding, Hugh C. T."
H.D. (Hilda Doolittle),"Duncan, Robert Edward"
H.D. (Hilda Doolittle),"Durand, Lionel"
H.D. (Hilda Doolittle),"Dutton, Geoffrey, Mr. and Mrs."
H.D. (Hilda Doolittle),"Eberhart, Richard"
H.D. (Hilda Doolittle),"Eissler, Kurt"
H.D. (Hilda Doolittle),"Eliot, T. S."
H.D. (Hilda Doolittle),"Ellerman, Hannah Glover"
H.D. (Hilda Doolittle),"Ellerman, John Reeves"
H.D. (Hilda Doolittle),"Ellis, Havelock"
H.D. (Hilda Doolittle),"Ford, Ford Madox"
H.D. (Hilda Doolittle),"Frere, Philip"
H.D. (Hilda Doolittle),"Freud, Anna"
H.D. (Hilda Doolittle),"Freud, Martha"
H.D. (Hilda Doolittle),"Freud, Sigmund"
H.D. (Hilda Doolittle),"Freud, Sigmund [photocopies]"
H.D. (Hilda Doolittle),Friend's Central School
H.D. (Hilda Doolittle),"Gallup, Donald"
H.D. (Hilda Doolittle),"Gellhorn, Martha"
H.D. (Hilda Doolittle),"Gibson, Andrew"
