H.D. (Hilda Doolittle),"Agresti, Olivia Rossetti",6
H.D. (Hilda Doolittle),"Aiken, Conrad",18
H.D. (Hilda Doolittle),"Aldington, Catherine",14
H.D. (Hilda Doolittle),"Aldington, Richard",39
H.D. (Hilda Doolittle),"Aldington, Richard",28
H.D. (Hilda Doolittle),"Allingham, Emily G.",2
H.D. (Hilda Doolittle),American Caravan,2
H.D. (Hilda Doolittle),"Ashby, Elizabeth",11
H.D. (Hilda Doolittle),"Baker, Gretchen Wolle",35
H.D. (Hilda Doolittle),"Barnard, Mary",2
H.D. (Hilda Doolittle),"Barsis, Olga S.",2
H.D. (Hilda Doolittle),"Beach, Sylvia",13
H.D. (Hilda Doolittle),"Bergner, Elizabeth",2
H.D. (Hilda Doolittle),"Bhaduri, Alexander",2
H.D. (Hilda Doolittle),"Bhaduri, May",2
H.D. (Hilda Doolittle),"Blackwell, Basil, Sir",2
H.D. (Hilda Doolittle),"Blackemore, C. R. V.",2
H.D. (Hilda Doolittle),"Blakeston, Oswall",12
H.D. (Hilda Doolittle),"Blunden, Edmund",2
H.D. (Hilda Doolittle),"Bottomley, Gordon",3
H.D. (Hilda Doolittle),"Brooke, Jocelyn",10
H.D. (Hilda Doolittle),"Browne, Frances",2
H.D. (Hilda Doolittle),"Brunner, Blanche",2
H.D. (Hilda Doolittle),"Brunner, Theodor",2
H.D. (Hilda Doolittle),Bryher,42
H.D. (Hilda Doolittle),Bryher,30
H.D. (Hilda Doolittle),Bryher,42
H.D. (Hilda Doolittle),Bryher,38
H.D. (Hilda Doolittle),Bryher,39
H.D. (Hilda Doolittle),Bryher,40
H.D. (Hilda Doolittle),Bryn Mawr College,13
H.D. (Hilda Doolittle),"Bukowski, Charles",2
H.D. (Hilda Doolittle),"Burnett, Whit",2
H.D. (Hilda Doolittle),"Butler, Amy",2
H.D. (Hilda Doolittle),"Butler, E. M. (Eliza Marian)",2
H.D. (Hilda Doolittle),"Butler, E. M.(Eliza Marian)",10
H.D. (Hilda Doolittle),"Capper, Jessie",11
