95,1761,"""A"" general ","1925-46, n.d."
95,1762,"[Aarnestad?], Elling ",n.d.
,,GS: drafts of responses,
95,1763,"Abbott, Moreton Graves ","1938, n.d."
95,1764,"Abdy, Diana, Lady ","1933-[37], n.d."
95,1765,"Abdy, Robert, Sir ","1932-45, n.d."
95,1766,"Abélard, Amelie ",1932 Jan 5
95,1767,"Abercrombie, Gertrude ",1936
95,1768,"Acosta, Mercedes de ",n.d.
95,1769,Activités ,1933 Mar
,,GS: draft of response,
95,1770,"Acton, Arthur ","1912, n.d."
95,1771,"Acton, Harold ",1926-1945
95,1772,"Adamov, Ar ","1928, n.d."
95,1773,"Adams, Clifford ",1945-46
95,1774,"Addis, Emmet ","1929, n.d."
,,"See: Series I., Writings,, Carnets - n.d., Box 93, folder 1742 for GS: draft of letter ",
95,1775,"Addis, Louise Hayden ","[1934?], n.d."
95,1776,[EMPTY FOLDER] ,
95,1777,"Adler, Rose ",n.d.
95,1778,"Agelaste, M. ",1934
,,GS: draft of response (typescript by Agelaste),
95,1779,"Aigner, Yvonne ",1941 Dec 31
95,1780-1781,"Aiguy, Baron d' ",1936-46
,,With letters and writings from Rose d' Aiguy,
95,1782,"Alberga, Sydney ",n.d.
,,"Albert and Charles Boni, Ltd. ",
,,See: Boni and Liveright ,
95,1783,"Albrecht, Meta ",1908 Jul 15
95,1784,"Albright, Jane ",1945 Mar 11
95,1785,The Alcestis Press ,n.d.
95,1786-1792,"Aldrich, Mildred ",1909-21
96,1793-1799,"Aldrich, Mildred ","1922-28, n.d."
,,"Includes: letter from Edna Aldrich (in the hand of ABT) to ""Mr. Hardy"" with response (1927-28)",
96,1800,"Alexander, E. ",1928 May 8
96,1801,"Alexander, Elizabeth A. ",1934
,,"Alfred A. Knopf, Inc. ",
,,See: Alfred Knopf ,
96,1802,"Alfred, William ",1939-45
,,Algonquin Hotel ,
,,See: Frank Case ,
96,1803,"Alsop, Joseph W., Jr. ",[1934?-35?]
